Local,Nome,Idade,Runs,Wins,2nds,3rds,Odds,Intervalo,Going,Ranking,Distancia
Doncaster, Rogue Dancer,3,5,2,0,0,2.88,12,Standard,1,0.6
Doncaster, Chuti Manika,3,9,1,2,3,4.5,7,Good,2,0.6
Doncaster, Up The Clarets,3,9,1,1,1,9.5,218,Soft,5,0.5
Doncaster,My Mate Kev,3,3,1,0,0,9.5,18,Standard to Slow,8,0.6
Doncaster, Alashos,3,10,1,2,2,6.0,13,Good to Firm,8,0.5
Doncaster, Trust Sergei,3,5,1,0,1,7.5,14,Standard,1,0.5
Doncaster,Moby Quick,3,6,0,1,1,9.0,17,Good,8,0.75
Doncaster,The Childe Of Hale,3,3,0,0,1,29.0,148,Standard,6,0.6
